"unit_id","student_id","week","question_no","expected_code","expected_item","expected_cq_type","arguable","item_fits"
"E02_w07_q01_s03","E02",7,"1","Not marked",,,FALSE,
"E02_w07_q02_s01","E02",7,"2","Not marked",,,FALSE,
"E02_w07_q02_s02","E02",7,"2","Not marked",,,FALSE,
"E02_w10_q01_s01","E02",10,"1","Not marked",,,FALSE,
"E02_w10_q01_s02","E02",10,"1","Self awareness",,,FALSE,TRUE
"E02_w10_q01_s03","E02",10,"1","Not marked",,,FALSE,
"E02_w10_q02_s01","E02",10,"2","Not marked",,,FALSE,
"E02_w10_q02_s02","E02",10,"2","Not marked",,,FALSE,
"E03_w01_q01_s01","E03",1,"1","Not marked",,,FALSE,
"E03_w01_q01_s02","E03",1,"1","Not marked",,,FALSE,
"E03_w01_q01_s03","E03",1,"1","Positive","MOT1","Motivational",FALSE,TRUE
"E03_w01_q02_s01","E03",1,"2","Not marked",,,FALSE,
"E03_w01_q02_s02","E03",1,"2","Not marked",,,FALSE,
"E03_w04_q01_s01","E03",4,"1","Not marked",,,FALSE,
"E03_w04_q01_s02","E03",4,"1","Positive","COG5","Cognitive",FALSE,TRUE
"E03_w04_q01_s03","E03",4,"1","Not marked",,,FALSE,
"E03_w04_q02_s01","E03",4,"2","Not marked",,,FALSE,
"E03_w04_q02_s02","E03",4,"2","Negative",,,FALSE,TRUE
"E03_w04_q02_s03","E03",4,"2","Not marked",,,FALSE,
"E03_w07_q01_s01","E03",7,"1","Not marked",,,FALSE,
"E03_w07_q01_s02","E03",7,"1","Positive","BEH1","Behavioural",FALSE,TRUE
"E03_w07_q01_s03","E03",7,"1","Not marked",,,FALSE,
"E03_w07_q02_s01","E03",7,"2","Positive","MC4","Metacognitive",FALSE,TRUE
"E03_w07_q02_s02","E03",7,"2","Not marked",,,FALSE,
"E03_w10_q01_s01","E03",10,"1","Not marked",,,FALSE,
"E03_w10_q01_s02","E03",10,"1","Self awareness",,,FALSE,TRUE
"E03_w10_q01_s03","E03",10,"1","Positive","MOT1","Motivational",FALSE,TRUE
"E03_w10_q02_s01","E03",10,"2","Not marked",,,FALSE,
"E04_w01_q01_s01","E04",1,"1","Not marked",,,FALSE,
"E04_w01_q01_s02","E04",1,"1","Not marked",,,FALSE,
"E04_w01_q01_s03","E04",1,"1","Negative",,,FALSE,TRUE
"E04_w01_q02_s01","E04",1,"2","Not marked",,,FALSE,
"E04_w01_q02_s02","E04",1,"2","Not marked",,,FALSE,
"E04_w04_q01_s01","E04",4,"1","Not marked",,,FALSE,
"E04_w04_q01_s02","E04",4,"1","Negative",,,FALSE,TRUE
"E04_w04_q01_s03","E04",4,"1","Positive","MC2","Metacognitive",TRUE,TRUE
"E04_w04_q01_s04","E04",4,"1","Not marked",,,FALSE,
"E04_w04_q02_s01","E04",4,"2","Not marked",,,FALSE,
"E04_w04_q02_s02","E04",4,"2","Not marked",,,FALSE,
"E04_w07_q01_s01","E04",7,"1","Not marked",,,FALSE,
"E04_w07_q01_s02","E04",7,"1","Positive","MC4","Metacognitive",FALSE,TRUE
"E04_w07_q01_s03","E04",7,"1","Positive","COG1","Cognitive",FALSE,TRUE
"E04_w07_q02_s01","E04",7,"2","Not marked",,,FALSE,
"E04_w07_q02_s02","E04",7,"2","Self awareness",,,FALSE,TRUE
"E04_w10_q01_s01","E04",10,"1","Not marked",,,FALSE,
"E04_w10_q01_s02","E04",10,"1","Positive","MC1","Metacognitive",FALSE,TRUE
"E04_w10_q01_s03","E04",10,"1","Not marked",,,FALSE,
"E04_w10_q02_s01","E04",10,"2","Not marked",,,FALSE,
"E04_w10_q02_s02","E04",10,"2","Not marked",,,FALSE,
"E05_w01_q01_s01","E05",1,"1","Not marked",,,FALSE,
"E05_w01_q01_s02","E05",1,"1","Not marked",,,FALSE,
"E05_w01_q01_s03","E05",1,"1","Positive","MOT1","Motivational",FALSE,TRUE
"E05_w01_q02_s01","E05",1,"2","Not marked",,,FALSE,
"E05_w01_q02_s02","E05",1,"2","Not marked",,,FALSE,
"E05_w04_q01_s01","E05",4,"1","Not marked",,,FALSE,
"E05_w04_q01_s02","E05",4,"1","Positive","COG3","Cognitive",FALSE,TRUE
"E05_w04_q01_s03","E05",4,"1","Negative",,,FALSE,TRUE
"E05_w04_q01_s04","E05",4,"1","Not marked",,,FALSE,
"E05_w04_q02_s01","E05",4,"2","Not marked",,,FALSE,
"E05_w04_q02_s02","E05",4,"2","Not marked",,,FALSE,
"E05_w07_q01_s01","E05",7,"1","Positive","BEH2","Behavioural",FALSE,TRUE
"E05_w07_q01_s02","E05",7,"1","Positive","MC1","Metacognitive",FALSE,TRUE
"E05_w07_q01_s03","E05",7,"1","Not marked",,,FALSE,
"E05_w07_q02_s01","E05",7,"2","Not marked",,,FALSE,
"E05_w10_q01_s01","E05",10,"1","Not marked",,,FALSE,
"E05_w10_q01_s02","E05",10,"1","Self awareness",,,FALSE,TRUE
"E05_w10_q01_s03","E05",10,"1","Positive","MOT1","Motivational",FALSE,TRUE
"E05_w10_q02_s01","E05",10,"2","Not marked",,,FALSE,
"E05_w10_q02_s02","E05",10,"2","Not marked",,,FALSE,
