"unit_id","student_id","week","text","text_sha1","question","question_no","context","para_id","sent_in_para","n_sent_in_para"
"E02_w04_q01_s03","E02",4,"I have learned that the two labs teach completely different rules for what counts as a replicate, so both of us had been right by our own standards.","6bf010213a4a48c29df9a80e703aeb2628c11ea3","How is the group working together?",1,"The sampling is going fine. We had a real argument about protocol on day three. I have learned that the two labs teach completely different rules for what counts as a replicate, so both of us had been right by our own standards. We rewrote the protocol sheet the same evening.","E02_w04_q01_p01",3,4
"E02_w04_q01_s04","E02",4,"We rewrote the protocol sheet the same evening.","4a0fc9266db6b6b0653c05fd1d5e547c1081e451","How is the group working together?",1,"The sampling is going fine. We had a real argument about protocol on day three. I have learned that the two labs teach completely different rules for what counts as a replicate, so both of us had been right by our own standards. We rewrote the protocol sheet the same evening.","E02_w04_q01_p01",4,4
"E02_w04_q02_s01","E02",4,"The heat, mainly.","3856b5130b16ab957d94c679bb99e9ef2a73808b","Anything difficult?",2,"The heat, mainly. And the wifi, which means I cannot upload anything until we are back in port.","E02_w04_q02_p01",1,2
"E02_w04_q02_s02","E02",4,"And the wifi, which means I cannot upload anything until we are back in port.","85d8005c38f941f761746e5df8e86e12388ce3ab","Anything difficult?",2,"The heat, mainly. And the wifi, which means I cannot upload anything until we are back in port.","E02_w04_q02_p01",2,2
"E02_w07_q01_s01","E02",7,"I now ask people to repeat the plan back to me instead of assuming we agree.","36439f2bbf7820673feb04d3c0df0b038ee205fc","Has your own behaviour changed?",1,"I now ask people to repeat the plan back to me instead of assuming we agree. I also realised I had been reading the quieter members of the group as uninterested, when they were being polite in a way I am not used to. My algae identification is still poor.","E02_w07_q01_p01",1,3
"E02_w07_q01_s02","E02",7,"I also realised I had been reading the quieter members of the group as uninterested, when they were being polite in a way I am not used to.","1afdcf15c1179427e56e6141af22d70d51c54857","Has your own behaviour changed?",1,"I now ask people to repeat the plan back to me instead of assuming we agree. I also realised I had been reading the quieter members of the group as uninterested, when they were being polite in a way I am not used to. My algae identification is still poor.","E02_w07_q01_p01",2,3
"E02_w07_q01_s03","E02",7,"My algae identification is still poor.","ff2d0628026e6755f62cd76dbe1a6c5fb498f1ea","Has your own behaviour changed?",1,"I now ask people to repeat the plan back to me instead of assuming we agree. I also realised I had been reading the quieter members of the group as uninterested, when they were being polite in a way I am not used to. My algae identification is still poor.","E02_w07_q01_p01",3,3
"E02_w07_q02_s01","E02",7,"The transect data looks good.","5150874ae9f07764f9d3c3f8a27e47d3ba3f7882","What about the science itself?",2,"The transect data looks good. We lost one quadrat to a wave, which I am still annoyed about.","E02_w07_q02_p01",1,2
"E02_w07_q02_s02","E02",7,"We lost one quadrat to a wave, which I am still annoyed about.","e93ac003181753fe9f35c41aa48e89c61761dab0","What about the science itself?",2,"The transect data looks good. We lost one quadrat to a wave, which I am still annoyed about.","E02_w07_q02_p01",2,2
"E02_w10_q01_s01","E02",10,"A lot of practical skill with a dredge.","90177b9cf48335c41259a41ea781f90eff7e0c5e","What will you take away from the course?",1,"A lot of practical skill with a dredge. Also that I am someone who assumes everyone works the way I do, which I did not know about myself before this course. The final report is due on Friday and I have not started it.","E02_w10_q01_p01",1,3
"E02_w10_q01_s02","E02",10,"Also that I am someone who assumes everyone works the way I do, which I did not know about myself before this course.","995858f4f399708e7734332017aebda29ed4e014","What will you take away from the course?",1,"A lot of practical skill with a dredge. Also that I am someone who assumes everyone works the way I do, which I did not know about myself before this course. The final report is due on Friday and I have not started it.","E02_w10_q01_p01",2,3
"E02_w10_q01_s03","E02",10,"The final report is due on Friday and I have not started it.","599fb721095982f7d01857c483f888228f505c6b","What will you take away from the course?",1,"A lot of practical skill with a dredge. Also that I am someone who assumes everyone works the way I do, which I did not know about myself before this course. The final report is due on Friday and I have not started it.","E02_w10_q01_p01",3,3
"E02_w10_q02_s01","E02",10,"Yes.","983e592736cd1e0011d958fdadad4d58eeb694d4","Would you do it again?",2,"Yes. Not in August.","E02_w10_q02_p01",1,2
"E02_w10_q02_s02","E02",10,"Not in August.","421736e0129a2598806a9cfa3647382f2b93fd7f","Would you do it again?",2,"Yes. Not in August.","E02_w10_q02_p01",2,2
"E03_w01_q01_s01","E03",1,"I wanted to play chamber music with people who are better than me.","020d50cd68ebb9f0d2b4cd545f8f832e23206b6e","Why did you join the ensemble project?",1,"I wanted to play chamber music with people who are better than me. The rehearsal room is freezing and the piano is a disgrace. I am genuinely excited that half the group is coming from abroad, because I have only ever played with musicians trained the way I was.","E03_w01_q01_p01",1,3
"E03_w01_q01_s02","E03",1,"The rehearsal room is freezing and the piano is a disgrace.","c79c63664f1716399827cdd18e24d7bad7599fd5","Why did you join the ensemble project?",1,"I wanted to play chamber music with people who are better than me. The rehearsal room is freezing and the piano is a disgrace. I am genuinely excited that half the group is coming from abroad, because I have only ever played with musicians trained the way I was.","E03_w01_q01_p01",2,3
"E03_w01_q01_s03","E03",1,"I am genuinely excited that half the group is coming from abroad, because I have only ever played with musicians trained the way I was.","faac80e39d18800ae2851434f2385697e4316875","Why did you join the ensemble project?",1,"I wanted to play chamber music with people who are better than me. The rehearsal room is freezing and the piano is a disgrace. I am genuinely excited that half the group is coming from abroad, because I have only ever played with musicians trained the way I was.","E03_w01_q01_p01",3,3
"E03_w01_q02_s01","E03",1,"Technically fine, musically cautious.","8801d73464237e50f440a3892832654f0c536fca","How would you rate your own playing?",2,"Technically fine, musically cautious. I have been told more than once that I follow rather than lead.","E03_w01_q02_p01",1,2
"E03_w01_q02_s02","E03",1,"I have been told more than once that I follow rather than lead.","afcc1bb118c08e2574d493277f2171f34fd25251","How would you rate your own playing?",2,"Technically fine, musically cautious. I have been told more than once that I follow rather than lead.","E03_w01_q02_p01",2,2
"E03_w04_q01_s01","E03",4,"We spent two hours on eight bars, which was maddening and probably necessary.","9e3db96b4cfa64cff3fe034244d4f2490488ff95","How are rehearsals going?",1,"We spent two hours on eight bars, which was maddening and probably necessary. What I did not expect is that their tradition treats rubato as a starting point rather than a decision, and I have had to learn what they mean by it. The parts arrived with the wrong transposition.","E03_w04_q01_p01",1,3
"E03_w04_q01_s02","E03",4,"What I did not expect is that their tradition treats rubato as a starting point rather than a decision, and I have had to learn what they mean by it.","0cabf13923f0a8d1fdc9897a1fda9450a27e958d","How are rehearsals going?",1,"We spent two hours on eight bars, which was maddening and probably necessary. What I did not expect is that their tradition treats rubato as a starting point rather than a decision, and I have had to learn what they mean by it. The parts arrived with the wrong transposition.","E03_w04_q01_p01",2,3
"E03_w04_q01_s03","E03",4,"The parts arrived with the wrong transposition.","89cff9d1f83bc0ac2420becfa674bc08bcc995f8","How are rehearsals going?",1,"We spent two hours on eight bars, which was maddening and probably necessary. What I did not expect is that their tradition treats rubato as a starting point rather than a decision, and I have had to learn what they mean by it. The parts arrived with the wrong transposition.","E03_w04_q01_p01",3,3
"E03_w04_q02_s01","E03",4,"Yes.","983e592736cd1e0011d958fdadad4d58eeb694d4","Has there been any friction?",2,"Yes. Our first violinist and their cellist disagree about everything, and some of it is genuinely about how one is supposed to behave in a rehearsal rather than about the music. The room booking system has failed twice as well.","E03_w04_q02_p01",1,3
"E03_w04_q02_s02","E03",4,"Our first violinist and their cellist disagree about everything, and some of it is genuinely about how one is supposed to behave in a rehearsal rather than about the music.","71e65543449cddffb1742a99cdef1d408e3cd5ce","Has there been any friction?",2,"Yes. Our first violinist and their cellist disagree about everything, and some of it is genuinely about how one is supposed to behave in a rehearsal rather than about the music. The room booking system has failed twice as well.","E03_w04_q02_p01",2,3
"E03_w04_q02_s03","E03",4,"The room booking system has failed twice as well.","cd6c5939f547c00a8cdf9c98b20fd8749dccb44e","Has there been any friction?",2,"Yes. Our first violinist and their cellist disagree about everything, and some of it is genuinely about how one is supposed to behave in a rehearsal rather than about the music. The room booking system has failed twice as well.","E03_w04_q02_p01",3,3
"E03_w07_q01_s01","E03",7,"I have started taking my own entries instead of waiting to be led, which is not something I would have done in September.","1a25e7b307e38820dd8749861af08c0991a31365","Has anything shifted in how you play or rehearse?",1,"I have started taking my own entries instead of waiting to be led, which is not something I would have done in September. I have also stopped apologising before every suggestion, because it was being read as a lack of conviction rather than as politeness. The concert programme is finally decided.","E03_w07_q01_p01",1,3
"E03_w07_q01_s02","E03",7,"I have also stopped apologising before every suggestion, because it was being read as a lack of conviction rather than as politeness.","4da2adb5c3f7457a2f370347c2e4d8e552a63cf9","Has anything shifted in how you play or rehearse?",1,"I have started taking my own entries instead of waiting to be led, which is not something I would have done in September. I have also stopped apologising before every suggestion, because it was being read as a lack of conviction rather than as politeness. The concert programme is finally decided.","E03_w07_q01_p01",2,3
"E03_w07_q01_s03","E03",7,"The concert programme is finally decided.","390d3a87ca74c0e900a10714f58e14820e4ca7cb","Has anything shifted in how you play or rehearse?",1,"I have started taking my own entries instead of waiting to be led, which is not something I would have done in September. I have also stopped apologising before every suggestion, because it was being read as a lack of conviction rather than as politeness. The concert programme is finally decided.","E03_w07_q01_p01",3,3
"E03_w07_q02_s01","E03",7,"I have learned to ask what someone means rather than guessing, and it took me far too long.","78636c5ff457d03887a803dae585041258c5c63b","Any regrets?",2,"I have learned to ask what someone means rather than guessing, and it took me far too long. The catering at the dress rehearsal was excellent.","E03_w07_q02_p01",1,2
"E03_w07_q02_s02","E03",7,"The catering at the dress rehearsal was excellent.","1cda0e2091a3526e3d375a4a19146f0ed286f1d6","Any regrets?",2,"I have learned to ask what someone means rather than guessing, and it took me far too long. The catering at the dress rehearsal was excellent.","E03_w07_q02_p01",2,2
"E03_w10_q01_s01","E03",10,"A much better ear.","d291d4471e3f46a68df7ff668a2a0c17cf182ab0","What did the project give you?",1,"A much better ear. Also the discovery that I am more rigid about how music ought to be rehearsed than I ever thought I was. I would like to keep playing with two of them after this.","E03_w10_q01_p01",1,3
"E03_w10_q01_s02","E03",10,"Also the discovery that I am more rigid about how music ought to be rehearsed than I ever thought I was.","b5257b6b00f1d474e883c37bdfdd2d4f171caaaf","What did the project give you?",1,"A much better ear. Also the discovery that I am more rigid about how music ought to be rehearsed than I ever thought I was. I would like to keep playing with two of them after this.","E03_w10_q01_p01",2,3
"E03_w10_q01_s03","E03",10,"I would like to keep playing with two of them after this.","14718b60bf85f69d2c50dbc20df3c2580c611307","What did the project give you?",1,"A much better ear. Also the discovery that I am more rigid about how music ought to be rehearsed than I ever thought I was. I would like to keep playing with two of them after this.","E03_w10_q01_p01",3,3
"E03_w10_q02_s01","E03",10,"Heat the rehearsal room.","20fd05d48070560a4762357e709e6a19dd90363f","Anything the organisers should change?",2,,"E03_w10_q02_p01",1,1
"E04_w01_q01_s01","E04",1,"I want to be able to read a mixed model output without guessing.","d4ec6650e03e384a13e1205eb55beb86a5ba8792","What do you want to get out of this seminar?",1,"I want to be able to read a mixed model output without guessing. The seminar is online, which suits me perfectly. We are apparently going to be paired with students from the partner university, and I do not really see what that adds.","E04_w01_q01_p01",1,3
"E04_w01_q01_s02","E04",1,"The seminar is online, which suits me perfectly.","f3c1d0a51681a49c5b2046bc1d01d4dd6b0bb1d0","What do you want to get out of this seminar?",1,"I want to be able to read a mixed model output without guessing. The seminar is online, which suits me perfectly. We are apparently going to be paired with students from the partner university, and I do not really see what that adds.","E04_w01_q01_p01",2,3
"E04_w01_q01_s03","E04",1,"We are apparently going to be paired with students from the partner university, and I do not really see what that adds.","0dd6efe920ae262fe3f1c14a893507029f5f6169","What do you want to get out of this seminar?",1,"I want to be able to read a mixed model output without guessing. The seminar is online, which suits me perfectly. We are apparently going to be paired with students from the partner university, and I do not really see what that adds.","E04_w01_q01_p01",3,3
"E04_w01_q02_s01","E04",1,"Alone, with a textbook.","75d116fec21959f7dd7224fdc3dd469d74dd2994","How do you learn best?",2,"Alone, with a textbook. Group work usually slows me down.","E04_w01_q02_p01",1,2
"E04_w01_q02_s02","E04",1,"Group work usually slows me down.","ad7ed358bf8bc09788e566369107fb486f2aae78","How do you learn best?",2,"Alone, with a textbook. Group work usually slows me down.","E04_w01_q02_p01",2,2
"E04_w04_q01_s01","E04",4,"Slowly.","269efda425d3aec967f0e9e1f48091db9fd47668","How is the joint work going?",1,"Slowly. Our two groups were taught different notation for the same quantity, which cost us an entire session before anyone noticed. I now write out what I mean instead of assuming the symbol is universal. The problem sets themselves are well designed.","E04_w04_q01_p01",1,4
"E04_w04_q01_s02","E04",4,"Our two groups were taught different notation for the same quantity, which cost us an entire session before anyone noticed.","7663e01e3e4308e7767f16635b12611fe0108e4c","How is the joint work going?",1,"Slowly. Our two groups were taught different notation for the same quantity, which cost us an entire session before anyone noticed. I now write out what I mean instead of assuming the symbol is universal. The problem sets themselves are well designed.","E04_w04_q01_p01",2,4
"E04_w04_q01_s03","E04",4,"I now write out what I mean instead of assuming the symbol is universal.","32bc9ba85ee125e74bd4431384ff6d563450df8d","How is the joint work going?",1,"Slowly. Our two groups were taught different notation for the same quantity, which cost us an entire session before anyone noticed. I now write out what I mean instead of assuming the symbol is universal. The problem sets themselves are well designed.","E04_w04_q01_p01",3,4
"E04_w04_q01_s04","E04",4,"The problem sets themselves are well designed.","a5acb08f5a19c3cbc5a52f55b6c68320b60f40ce","How is the joint work going?",1,"Slowly. Our two groups were taught different notation for the same quantity, which cost us an entire session before anyone noticed. I now write out what I mean instead of assuming the symbol is universal. The problem sets themselves are well designed.","E04_w04_q01_p01",4,4
"E04_w04_q02_s01","E04",4,"The recordings are useful.","b580a128df6db35ba4f0be9b260ef657054dd56c","Anything else worth noting?",2,"The recordings are useful. I would prefer fewer breakout rooms.","E04_w04_q02_p01",1,2
"E04_w04_q02_s02","E04",4,"I would prefer fewer breakout rooms.","df815a1152c040bd018f3f3dff89bd48abfde9c8","Anything else worth noting?",2,"The recordings are useful. I would prefer fewer breakout rooms.","E04_w04_q02_p01",2,2
"E04_w07_q01_s01","E04",7,"Somewhat.","39b4c49d2671952d32fde3da170d04c035078bf7","Has your view of the joint element changed?",1,"Somewhat. I still think it costs time, but the two groups make different mistakes, and checking my work against theirs has caught two of mine. I also know now that the legal framework they work under for sharing data is not the same as ours, which I had not considered at all before.","E04_w07_q01_p01",1,3
"E04_w07_q01_s02","E04",7,"I still think it costs time, but the two groups make different mistakes, and checking my work against theirs has caught two of mine.","5b804b519ce8fb6a9d802043f71ab577b2eb952e","Has your view of the joint element changed?",1,"Somewhat. I still think it costs time, but the two groups make different mistakes, and checking my work against theirs has caught two of mine. I also know now that the legal framework they work under for sharing data is not the same as ours, which I had not considered at all before.","E04_w07_q01_p01",2,3
"E04_w07_q01_s03","E04",7,"I also know now that the legal framework they work under for sharing data is not the same as ours, which I had not considered at all before.","1af7aa757c9cb9aefb26301c4f59d85b4ade9b41","Has your view of the joint element changed?",1,"Somewhat. I still think it costs time, but the two groups make different mistakes, and checking my work against theirs has caught two of mine. I also know now that the legal framework they work under for sharing data is not the same as ours, which I had not considered at all before.","E04_w07_q01_p01",3,3
"E04_w07_q02_s01","E04",7,"Time zones, mostly.","66a25dbccc7663121d0ee44ef578087afb0c4a81","Anything difficult?",2,"Time zones, mostly. I am someone who reads a slow reply as disinterest, which says more about me than about them.","E04_w07_q02_p01",1,2
"E04_w07_q02_s02","E04",7,"I am someone who reads a slow reply as disinterest, which says more about me than about them.","834df52a0ac5a3ac1424d83ada035c1d730ae79d","Anything difficult?",2,"Time zones, mostly. I am someone who reads a slow reply as disinterest, which says more about me than about them.","E04_w07_q02_p01",2,2
"E04_w10_q01_s01","E04",10,"The statistics content was excellent and I would take it again.","0d5b3c38d4b64301e58f590f69e9769edd3c2c08","Final thoughts on the seminar?",1,"The statistics content was excellent and I would take it again. The joint element I have come round to, largely because it forced me to explain myself to people who did not share my assumptions. I still dislike breakout rooms.","E04_w10_q01_p01",1,3
"E04_w10_q01_s02","E04",10,"The joint element I have come round to, largely because it forced me to explain myself to people who did not share my assumptions.","7918d277d56e0bdbab3a33f626c7174db97de424","Final thoughts on the seminar?",1,"The statistics content was excellent and I would take it again. The joint element I have come round to, largely because it forced me to explain myself to people who did not share my assumptions. I still dislike breakout rooms.","E04_w10_q01_p01",2,3
"E04_w10_q01_s03","E04",10,"I still dislike breakout rooms.","7bfcab697c4b91b2d5abe62e26fea66ae2482433","Final thoughts on the seminar?",1,"The statistics content was excellent and I would take it again. The joint element I have come round to, largely because it forced me to explain myself to people who did not share my assumptions. I still dislike breakout rooms.","E04_w10_q01_p01",3,3
"E04_w10_q02_s01","E04",10,"Give the two groups a shared glossary in week one.","5c12e20fed58d8fc88e8d9d30f37ffdacc7ae2b4","Advice for next year?",2,"Give the two groups a shared glossary in week one. It would have saved us a fortnight.","E04_w10_q02_p01",1,2
"E04_w10_q02_s02","E04",10,"It would have saved us a fortnight.","849ea4685933f02ff8684edf1222a72bdaab62c2","Advice for next year?",2,"Give the two groups a shared glossary in week one. It would have saved us a fortnight.","E04_w10_q02_p01",2,2
"E05_w01_q01_s01","E05",1,"Honestly, the sensory panel sessions.","ddb36ecc3b04540a1ccbc6331121dfbf4dbce3fc","What are you looking forward to?",1,"Honestly, the sensory panel sessions. I have wanted to do proper trained-panel work since first year. I am also curious to find out what the team at the other university considers a normal breakfast, because that is half of our brief.","E05_w01_q01_p01",1,3
"E05_w01_q01_s02","E05",1,"I have wanted to do proper trained-panel work since first year.","263ddba4453636b47c1eb94a37a6d0f515781cbb","What are you looking forward to?",1,"Honestly, the sensory panel sessions. I have wanted to do proper trained-panel work since first year. I am also curious to find out what the team at the other university considers a normal breakfast, because that is half of our brief.","E05_w01_q01_p01",2,3
